epoch,step,train_acc_epoch,train_f1_epoch,train_loss_epoch,train_loss_step,val_acc_epoch,val_f1_epoch,val_loss
0,49,,,,1.0158507823944092,,,
0,99,,,,0.9207364916801453,,,
0,149,,,,1.0988142490386963,,,
0,199,,,,0.9732761383056641,,,
0,249,,,,0.8588091135025024,,,
0,299,,,,0.7820342779159546,,,
0,317,,,,,0.3395390212535858,0.17664438486099243,0.8895548582077026
0,317,0.3198384642601013,0.1509508192539215,0.9243575930595398,,,,
1,349,,,,0.8539361953735352,,,
1,399,,,,0.8041613698005676,,,
1,449,,,,0.9572407603263855,,,
1,499,,,,0.8139581084251404,,,
1,549,,,,0.7153524160385132,,,
1,599,,,,0.8387839794158936,,,
1,635,,,,,0.3652482330799103,0.1851365864276886,0.8650808334350586
1,635,0.36317968368530273,0.1866712123155594,0.86426842212677,,,,
2,649,,,,0.8466211557388306,,,
2,699,,,,0.8547289371490479,,,
2,749,,,,0.8032376170158386,,,
2,799,,,,0.7918329238891602,,,
2,849,,,,0.8004318475723267,,,
2,899,,,,0.8882889151573181,,,
2,949,,,,0.9174572229385376,,,
2,953,,,,,0.375,0.2206745445728302,0.8399307727813721
2,953,0.3707643747329712,0.19540667533874512,0.8513826131820679,,,,
3,999,,,,0.8667352199554443,,,
3,1049,,,,0.8462604880332947,,,
3,1099,,,,0.9481971263885498,,,
3,1149,,,,0.7281135320663452,,,
3,1199,,,,0.8707479238510132,,,
3,1249,,,,0.7948399186134338,,,
3,1271,,,,,0.3918439745903015,0.2271755337715149,0.829358696937561
3,1271,0.37933412194252014,0.20726707577705383,0.8365171551704407,,,,
4,1299,,,,0.7374753355979919,,,
4,1349,,,,0.7726108431816101,,,
4,1399,,,,0.8547871112823486,,,
4,1449,,,,0.8051469326019287,,,
4,1499,,,,0.7052927017211914,,,
4,1549,,,,0.8631831407546997,,,
4,1589,,,,,0.3705673813819885,0.20830632746219635,0.8441387414932251
4,1589,0.38327422738075256,0.21687662601470947,0.830432116985321,,,,
5,1599,,,,0.6604459285736084,,,
5,1649,,,,0.7902182340621948,,,
5,1699,,,,0.8510924577713013,,,
5,1749,,,,0.8164649605751038,,,
5,1799,,,,0.7038739323616028,,,
5,1849,,,,0.9869988560676575,,,
5,1899,,,,0.9621092081069946,,,
5,1907,,,,,0.3129432499408722,0.18096715211868286,0.9195085763931274
5,1907,0.3940110206604004,0.22730714082717896,0.8227183222770691,,,,
6,1949,,,,0.8381664156913757,,,
6,1999,,,,0.7142884731292725,,,
6,2049,,,,0.7856246829032898,,,
6,2099,,,,0.7842835187911987,,,
6,2149,,,,0.6082488298416138,,,
6,2199,,,,0.821272075176239,,,
6,2225,,,,,0.39361703395843506,0.24506527185440063,0.8161402344703674
6,2225,0.39873915910720825,0.24467986822128296,0.8139468431472778,,,,
7,2249,,,,0.9242140650749207,,,
7,2299,,,,0.8991571664810181,,,
7,2349,,,,0.8624610900878906,,,
7,2399,,,,0.6301371455192566,,,
7,2449,,,,0.797444760799408,,,
